                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0072,                  3.088,                 1.2655,                0.49383,                0.64449,                0.58819,                0.45519,                0.85655,                 1.8164,                 1.1401,             0.00013178,             0.00013178,             0.00013178
                      1,                0.95016,                 1.6416,                 1.1673,                0.57992,                0.60505,                0.69853,                0.52983,                0.87335,                 1.6934,                 1.1769,             0.00025637,             0.00025637,             0.00025637
                      2,                 0.9204,                 1.4006,                 1.1451,                0.70456,                0.64598,                0.72219,                0.56036,                0.85419,                 1.6489,                  1.162,             0.00037215,             0.00037215,             0.00037215
                      3,                0.94192,                 1.2151,                 1.1654,                0.70523,                0.75089,                0.81356,                0.63375,                0.86373,                   1.23,                 1.1401,              0.0003604,              0.0003604,              0.0003604
                      4,                0.89252,                 1.1269,                 1.1187,                0.83682,                0.78375,                0.85049,                 0.6706,                0.85727,                 1.0267,                 1.1357,              0.0003604,              0.0003604,              0.0003604
                      5,                0.87988,                 1.0145,                 1.1173,                0.87855,                0.75142,                0.86544,                0.68111,                0.84003,                0.95236,                  1.108,              0.0003472,              0.0003472,              0.0003472
                      6,                0.86426,                0.97502,                 1.1002,                0.82103,                0.83025,                0.89261,                  0.722,                0.75351,                0.80099,                 1.0551,               0.000334,               0.000334,               0.000334
                      7,                 0.8267,                0.87522,                 1.0907,                0.83102,                0.81722,                0.87253,                0.71124,                0.73277,                0.84319,                 1.0478,              0.0003208,              0.0003208,              0.0003208
                      8,                0.83992,                0.86674,                 1.0893,                0.90791,                 0.8769,                0.94486,                0.76687,                0.72288,                0.59972,                 1.0363,              0.0003076,              0.0003076,              0.0003076
                      9,                0.81695,                0.79503,                 1.0768,                0.91082,                0.87749,                0.92703,                0.75902,                 0.7256,                0.65408,                 1.0284,              0.0002944,              0.0002944,              0.0002944
                     10,                0.80445,                  0.781,                 1.0641,                0.91205,                0.88099,                 0.9346,                0.76703,                 0.7104,                0.58785,                 1.0184,              0.0002812,              0.0002812,              0.0002812
                     11,                0.78604,                0.74393,                 1.0541,                0.85485,                0.86963,                0.92834,                0.76785,                0.69445,                0.66817,                 1.0193,               0.000268,               0.000268,               0.000268
                     12,                0.75765,                0.71318,                 1.0423,                0.89758,                0.90083,                0.92433,                0.75698,                0.69692,                0.57989,                 1.0071,              0.0002548,              0.0002548,              0.0002548
                     13,                  0.751,                0.67799,                 1.0401,                0.91151,                0.91964,                0.94471,                0.78489,                0.68842,                0.50612,                 1.0065,              0.0002416,              0.0002416,              0.0002416
                     14,                0.74926,                0.66307,                 1.0412,                0.92119,                0.90274,                0.94254,                0.78744,                0.67396,                0.51741,                 1.0056,              0.0002284,              0.0002284,              0.0002284
                     15,                0.73327,                0.63337,                 1.0334,                0.93871,                0.91023,                0.93532,                0.77665,                0.69154,                0.52646,                 1.0168,              0.0002152,              0.0002152,              0.0002152
                     16,                0.72008,                0.60394,                 1.0216,                0.93493,                0.90722,                0.95628,                0.79188,                0.69093,                0.47622,                 1.0003,               0.000202,               0.000202,               0.000202
                     17,                0.70533,                0.60863,                 1.0191,                 0.9473,                0.91069,                0.96129,                0.80572,                0.65346,                0.47466,                0.98201,              0.0001888,              0.0001888,              0.0001888
                     18,                    0.7,                0.60135,                 1.0227,                0.91271,                0.92231,                 0.9547,                0.79833,                0.67155,                0.48031,                0.99921,              0.0001756,              0.0001756,              0.0001756
                     19,                0.68642,                0.56288,                 1.0024,                0.93096,                 0.9196,                0.95647,                0.80126,                0.68273,                0.46297,                 1.0074,              0.0001624,              0.0001624,              0.0001624
                     20,                0.67941,                0.54727,                0.99947,                0.93937,                0.91814,                0.95709,                0.79817,                0.68467,                0.45813,                 1.0013,              0.0001492,              0.0001492,              0.0001492
                     21,                0.67692,                0.55194,                 1.0076,                0.94254,                0.93005,                0.95807,                0.80907,                0.63822,                0.42172,                0.97668,               0.000136,               0.000136,               0.000136
                     22,                0.65409,                0.49591,                0.99277,                 0.9454,                0.93652,                0.96062,                0.80076,                0.66892,                0.40687,                0.99117,              0.0001228,              0.0001228,              0.0001228
                     23,                0.64867,                0.52021,                0.99463,                0.94989,                0.95107,                0.96802,                0.81489,                0.66432,                0.40921,                0.99719,              0.0001096,              0.0001096,              0.0001096
                     24,                0.61754,                 0.4642,                0.97711,                0.93141,                0.95419,                0.97091,                0.82298,                0.63558,                0.38511,                0.97782,               9.64e-05,               9.64e-05,               9.64e-05
                     25,                 0.6311,                0.46668,                0.98185,                0.93361,                0.95413,                0.96769,                0.81839,                0.64868,                0.37934,                0.97719,               8.32e-05,               8.32e-05,               8.32e-05
                     26,                0.60616,                0.44862,                0.97457,                 0.9512,                0.95266,                0.97212,                 0.8289,                0.63474,                0.36775,                0.96877,                  7e-05,                  7e-05,                  7e-05
                     27,                0.59722,                0.44045,                 0.9698,                 0.9406,                0.96881,                0.97409,                0.83483,                0.62314,                0.34834,                0.96768,               5.68e-05,               5.68e-05,               5.68e-05
                     28,                0.58438,                0.45028,                0.96663,                0.94518,                0.96446,                0.97184,                0.82883,                0.62938,                0.34037,                0.96715,               4.36e-05,               4.36e-05,               4.36e-05
                     29,                0.58924,                0.43416,                0.96975,                0.94959,                0.96654,                0.97273,                0.83003,                0.62393,                0.34248,                0.96651,               3.04e-05,               3.04e-05,               3.04e-05
